work_order_no,item_code,material_readiness,days_until_due,max_lead_time_days,progress_ratio,item_overdue_rate,weekly_load_ratio,bom_component_count,was_delayed
WOH-00366,TV-300,0.2754,18,10,0.0568,0.25,1.2662,6,1
WOH-00367,TV-200,1,13,0,0.4813,0.12,1.4889,8,0
WOH-00368,MON-200,0.4666,16,6,0.2679,0.31,1.5216,2,0
WOH-00369,TV-200,,-1,3,0.2924,0.12,1.0483,6,0
WOH-00370,TV-100,0.1133,20,8,0.1109,0.18,1.4601,8,1
WOH-00371,MON-200,0.3617,7,3,0.5051,0.31,1.4793,5,1
WOH-00372,MON-100,0.8959,11,7,0.9518,0.42,1.2602,7,1
WOH-00373,TV-100,0.6785,16,14,0.769,0.18,0.7933,3,0
WOH-00374,TV-100,0.5807,3,6,0.5622,0.18,1.5584,2,0
WOH-00375,MON-200,0.5893,6,12,0.5903,0.31,,3,1
WOH-00376,TV-300,0.2058,11,10,0.6284,0.25,0.5627,8,0
WOH-00377,TV-200,0.4418,5,10,0.0452,0.12,1.3633,5,1
WOH-00378,MON-200,0.993,7,9,0.9064,0.31,1.1811,4,0
WOH-00379,TV-100,0.3392,6,11,0.9622,0.18,0.7643,8,1
WOH-00380,MON-200,0.6196,1,11,0.4534,0.31,0.5514,8,1
WOH-00381,MON-100,0.4509,19,4,0.6232,0.42,1.169,6,0
WOH-00382,MON-200,,2,13,0.9066,0.31,1.596,8,1
WOH-00383,MON-200,0.6962,10,11,0.5131,0.31,0.8455,4,1
WOH-00384,TV-200,0.8375,17,3,0.5327,0.12,1.5592,4,0
WOH-00385,MON-100,0.0799,-1,12,0.9722,0.42,0.8153,8,0
WOH-00386,TV-100,0.9962,8,10,0.8875,0.18,1.1439,8,0
WOH-00387,MON-200,0.958,12,14,0.5996,0.31,0.9597,5,0
WOH-00388,TV-100,0.6289,-3,9,0.7783,0.18,,5,0
WOH-00389,MON-100,0.555,16,3,0.2705,0.42,1.1773,6,0
WOH-00390,TV-100,0.7996,22,2,0.5903,0.18,,8,0
WOH-00391,TV-200,0.3917,8,5,0.9699,0.12,0.7602,2,0
WOH-00392,TV-200,0.9877,4,5,0.2896,0.12,1.2497,8,0
WOH-00393,TV-300,0.9946,8,14,0.0036,0.25,0.5031,8,0
WOH-00394,TV-300,0.3995,13,10,0.9518,0.25,0.6151,7,1
WOH-00395,MON-200,0.8134,13,2,0.1984,0.31,0.5517,3,0
WOH-00396,MON-100,0.1866,9,5,0.5004,0.42,1.5622,3,1
WOH-00397,TV-100,0.3561,22,11,0.423,0.18,1.4986,6,1
WOH-00398,MON-200,1,13,0,0.7056,0.31,0.7659,7,0
WOH-00399,MON-100,0.6921,8,9,0.3656,0.42,16.4703,5,0
WOH-00400,TV-100,0.5474,23,7,0.8192,0.18,0.7577,6,0
WOH-00401,MON-200,0.5366,17,12,0.224,0.31,0.6041,8,0
WOH-00402,MON-200,0.3326,10,14,0.832,0.31,0.5786,2,0
WOH-00403,TV-300,1,10,0,0.747,0.25,1.4033,5,0
WOH-00404,TV-100,0.7608,14,7,0.1817,0.18,,5,1
WOH-00405,TV-100,0.6094,15,11,0.5976,0.18,13.4417,3,1
WOH-00406,MON-200,0.6643,0,11,0.9063,0.31,1.3552,7,1
WOH-00407,TV-100,0.7431,19,14,0.4718,0.18,0.7854,5,0
WOH-00408,TV-100,1,24,0,0.2091,0.18,0.9495,4,0
WOH-00409,MON-100,0.5786,16,9,0.229,0.42,1.1811,6,0
WOH-00410,MON-100,0.4003,-1,4,0.3072,0.42,0.8583,6,1
WOH-00411,TV-100,0.9194,10,14,0.9878,0.18,1.3448,3,0
WOH-00412,MON-100,0.7706,4,12,0.2253,0.42,0.5318,6,0
WOH-00413,MON-200,0.1976,-1,13,0.0605,0.31,1.1278,6,1
WOH-00414,TV-100,0.7642,18,8,0.1353,0.18,1.3087,8,1
WOH-00415,TV-300,0.9152,21,7,0.8881,0.25,0.9618,8,0
WOH-00416,TV-200,0.2879,12,13,0.8837,0.12,0.7428,3,0
WOH-00417,MON-200,0.2138,12,14,0.5088,0.31,0.5548,7,1
WOH-00418,MON-100,0.2007,-3,13,0.1862,0.42,0.5163,8,1
WOH-00419,TV-100,0.0498,3,13,0.5558,0.18,1.3571,5,1
WOH-00420,TV-300,1,-5,0,0.4956,0.25,1.5047,3,1
WOH-00421,MON-100,0.1095,1,8,0.083,0.42,0.5272,3,1
WOH-00422,TV-200,0.8387,20,14,0.9643,0.12,1.5931,7,0
WOH-00423,MON-200,1,6,0,0.5237,0.31,1.2587,8,0
WOH-00424,MON-100,,3,7,0.054,0.42,1.418,6,0
WOH-00425,MON-100,0.0682,2,3,0.0712,0.42,1.0256,3,0
WOH-00426,TV-100,0.7316,16,14,0.3581,0.18,,3,1
WOH-00427,MON-100,0.7453,10,12,0.3335,0.42,1.2184,8,1
WOH-00428,TV-200,0.483,18,12,0.0823,0.12,1.1881,8,0
WOH-00429,TV-200,,16,9,0.0217,0.12,1.5036,2,0
WOH-00430,TV-200,,19,5,0.7716,0.12,1.252,2,1
WOH-00431,TV-200,0.7252,-4,7,0.7262,0.12,0.7918,8,1
WOH-00432,TV-300,0.4398,23,3,0.0934,0.25,0.9978,8,0
WOH-00433,MON-100,0.7973,-4,7,0.1028,0.42,,6,1
WOH-00434,MON-200,0.9514,13,4,0.3832,0.31,0.5803,3,0
WOH-00435,MON-200,0.8246,24,14,0.2811,0.31,0.5441,7,0
WOH-00436,TV-100,0.212,9,6,0.519,0.18,1.151,8,1
WOH-00437,TV-200,0.2855,12,7,0.5932,0.12,0.9655,8,1
WOH-00438,TV-100,,4,6,0.009,0.18,1.0095,7,1
WOH-00439,TV-200,0.9872,6,11,0.3385,0.12,0.7015,6,1
WOH-00440,TV-200,0.4883,-2,12,0.4688,0.12,1.16,5,1
WOH-00441,MON-200,0.6986,6,5,0.5274,0.31,1.1226,3,0
WOH-00442,TV-100,0.194,17,2,0.7601,0.18,1.2076,6,0
WOH-00443,MON-200,0.0094,10,9,0.5628,0.31,1.0634,6,0
WOH-00444,MON-100,0.4263,10,9,0.5404,0.42,0.5654,8,1
WOH-00445,TV-300,0.4974,21,13,0.1788,0.25,1.3564,8,0
WOH-00446,TV-100,,21,9,0.6856,0.18,1.5784,2,1
WOH-00447,TV-100,0.0093,21,8,0.3362,0.18,1.4422,8,0
WOH-00448,MON-100,,13,13,0.9981,0.42,1.0525,2,0
WOH-00449,TV-100,0.4498,5,10,0.328,0.18,1.2381,6,0
WOH-00450,TV-300,0.5192,13,12,0.8593,0.25,0.5394,4,0
WOH-00451,MON-200,0.254,-3,4,0.9805,0.31,0.8041,8,1
WOH-00452,TV-200,0.3699,11,9,0.6317,0.12,1.4419,8,1
WOH-00453,TV-300,0.2312,-4,7,0.716,0.25,1.3416,2,1
WOH-00454,TV-200,0.4825,20,14,0.5599,0.12,1.1671,6,0
WOH-00455,TV-200,0.8316,-2,2,0.8352,0.12,1.4331,6,0
WOH-00456,TV-100,0.6278,6,11,0.9532,0.18,1.5016,5,1
WOH-00457,TV-100,0.004,10,8,0.7602,0.18,0.5655,4,1
WOH-00458,MON-100,1,11,0,0.5911,0.42,1.4287,5,1
WOH-00459,TV-100,0.2321,-6,14,0.229,0.18,0.7069,4,0
WOH-00460,TV-300,0.3505,-1,3,0.179,0.25,0.667,3,0
WOH-00461,TV-100,0.3958,22,3,0.5758,0.18,1.1507,8,1
WOH-00462,MON-100,0.1036,-1,14,0.4379,0.42,0.5404,8,1
WOH-00463,MON-100,0.3886,15,13,0.938,0.42,0.6561,2,0
WOH-00464,MON-200,0.3611,23,7,0.7356,0.31,1.4053,2,0
WOH-00465,TV-300,0.2004,9,9,0.6838,0.25,0.6596,4,1
WOH-00466,TV-300,0.1561,-1,12,0.1396,0.25,0.6389,5,1
WOH-00467,TV-100,0.5864,10,13,0.7556,0.18,0.6786,5,0
WOH-00468,MON-100,0.6127,16,10,0.5279,0.42,1.4202,3,0
WOH-00469,MON-100,0.3895,7,10,0.3228,0.42,1.1179,8,1
WOH-00470,MON-100,0.648,5,7,0.1171,0.42,1.1754,3,1
WOH-00471,TV-200,1,2,0,0.2926,0.12,0.5199,2,0
WOH-00472,TV-200,,20,8,0.4131,0.12,1.2048,3,0
WOH-00473,TV-300,0.538,19,8,0.2717,0.25,0.9881,3,0
WOH-00474,TV-200,0.3315,14,10,0.4038,0.12,0.6435,2,1
WOH-00475,MON-200,0.1407,20,10,0.0541,0.31,0.6309,8,1
WOH-00476,TV-100,0.6142,23,14,0.7814,0.18,,8,0
WOH-00477,TV-100,1,10,0,0.8937,0.18,0.6651,8,0
WOH-00478,MON-200,0.1717,12,9,0.2911,0.31,0.6181,4,1
WOH-00479,TV-200,1,-1,0,0.1691,0.12,0.9373,2,0
WOH-00480,MON-100,0.7902,9,4,0.7101,0.42,1.2064,5,0
WOH-00481,TV-300,0.3998,1,5,0.8709,0.25,1.4691,6,1
WOH-00482,TV-100,1,17,0,0.9692,0.18,0.7774,3,0
WOH-00483,TV-300,0.8916,21,10,0.6144,0.25,1.4757,2,0
WOH-00484,TV-300,0.1945,18,8,0.8521,0.25,0.683,4,0
WOH-00485,MON-100,1,10,0,0.2548,0.42,1.0268,5,0
WOH-00486,TV-200,1,1,0,0.0329,0.12,0.8866,4,0
WOH-00487,TV-300,0.92,7,11,0.9308,0.25,0.6433,3,0
WOH-00488,TV-300,0.8396,5,12,0.7967,0.25,0.5086,6,0
WOH-00489,TV-200,0.6888,-2,2,0.1914,0.12,1.2807,8,0
WOH-00490,TV-300,0.8788,12,10,0.3811,0.25,0.7696,3,1
WOH-00491,TV-300,0.6694,-4,9,0.0648,0.25,0.9713,2,1
WOH-00492,TV-300,0.2256,3,9,0.3509,0.25,,8,1
WOH-00493,TV-100,0.4747,23,9,0.3662,0.18,0.6665,7,1
WOH-00494,MON-100,0.7318,5,11,0.3578,0.42,0.5607,4,0
WOH-00495,TV-100,1,12,0,0.7018,0.18,1.2084,4,0
WOH-00496,TV-100,0.125,19,10,0.4429,0.18,0.7635,2,0
WOH-00497,TV-300,1,20,0,0.5368,0.25,1.3415,5,0
WOH-00498,TV-200,,10,2,0.4434,0.12,1.3799,7,1
WOH-00499,MON-100,,6,13,0.4921,0.42,1.1075,6,1
WOH-00500,MON-100,0.9256,21,11,0.0919,0.42,0.9922,3,1
WOH-00501,TV-300,0.2157,13,4,0.3612,0.25,15.2895,5,1
WOH-00502,TV-200,0.4751,19,13,0.9684,0.12,1.391,4,1
WOH-00503,TV-300,,1,13,0.0164,0.25,0.682,7,1
WOH-00504,TV-200,0.9429,13,9,0.61,0.12,0.8548,8,0
WOH-00505,MON-200,0.8136,-5,14,0.0265,0.31,0.5882,2,0
WOH-00506,TV-100,0.9104,4,10,0.4435,0.18,1.4568,3,0
WOH-00507,TV-100,0.8842,11,9,0.4004,0.18,0.5778,2,0
WOH-00508,TV-100,0.9142,-3,2,0.9735,0.18,0.9936,8,1
WOH-00509,TV-300,0.354,-3,2,0.1697,0.25,0.5692,8,1
WOH-00510,TV-200,,8,14,0.2079,0.12,1.4231,8,0
WOH-00511,MON-100,0.1748,10,10,0.0012,0.42,0.8398,7,1
WOH-00512,TV-300,0.0512,6,9,0.2956,0.25,0.5589,2,1
WOH-00513,TV-300,1,23,0,0.5764,0.25,0.5026,5,0
WOH-00514,TV-100,0.6043,2,7,0.9368,0.18,0.6952,6,0
WOH-00515,TV-100,0.5104,6,10,0.2409,0.18,,4,1
WOH-00516,MON-100,0.0196,5,4,0.1777,0.42,1.4664,3,1
WOH-00517,TV-100,0.0342,12,3,0.0188,0.18,,8,1
WOH-00518,MON-100,0.1524,12,12,0.283,0.42,0.5132,5,0
WOH-00519,TV-200,0.6588,-6,8,0.0356,0.12,1.1411,4,1
WOH-00520,MON-100,,19,5,0.346,0.42,1.5803,8,1
WOH-00521,TV-200,0.0903,22,9,0.8311,0.12,1.2379,5,0
WOH-00522,TV-300,0.9952,21,4,0.2108,0.25,1.1261,5,0
WOH-00523,TV-100,0.1941,8,6,0.5477,0.18,1.5799,5,1
WOH-00524,MON-100,0.8886,1,12,0.8797,0.42,0.6063,7,1
WOH-00525,TV-100,0.7983,2,8,0.5275,0.18,0.6761,8,1
WOH-00526,MON-200,0.1578,7,9,0.8673,0.31,1.3538,5,1
WOH-00527,MON-200,0.7438,10,14,0.4579,0.31,1.5562,3,0
WOH-00528,MON-100,0.1106,21,12,0.0393,0.42,1.0756,2,1
WOH-00529,MON-100,0.2036,4,10,0.7155,0.42,0.8331,5,1
WOH-00530,MON-100,1,21,0,0.9534,0.42,0.5722,5,0
WOH-00531,MON-100,1,16,0,0.9617,0.42,,8,0
WOH-00532,TV-300,0.3393,2,10,0.5406,0.25,0.7047,5,1
WOH-00533,TV-100,0.2449,-5,10,0.09,0.18,0.8469,8,1
WOH-00534,TV-200,0.89,24,6,0.0272,0.12,0.7692,2,0
WOH-00535,MON-100,0.3802,10,5,0.2351,0.42,1.3395,7,1
WOH-00536,TV-300,,19,12,0.1701,0.25,,6,0
WOH-00537,MON-100,0.2335,0,7,0.8715,0.42,15.6939,2,1
WOH-00538,MON-100,0.6704,10,10,0.1015,0.42,0.7292,3,0
WOH-00539,TV-200,0.2748,13,6,0.217,0.12,14.9405,5,1
WOH-00540,TV-300,,24,4,0.7504,0.25,0.6365,5,1
WOH-00541,TV-100,0.9599,24,12,0.2936,0.18,1.4744,7,0
WOH-00542,MON-200,1,9,0,0.8545,0.31,0.9408,5,1
WOH-00543,TV-300,,11,3,0.3393,0.25,1.4673,4,1
WOH-00544,TV-100,0.6026,20,14,0.8725,0.18,0.899,3,1
WOH-00545,TV-300,0.7013,15,7,0.563,0.25,,2,0
WOH-00546,TV-200,0.8311,17,7,0.9109,0.12,1.49,2,0
WOH-00547,MON-200,0.6458,9,4,0.1178,0.31,0.8274,3,1
WOH-00548,MON-100,0.2097,23,12,0.2227,0.42,1.515,8,1
WOH-00549,TV-100,1,3,0,0.1457,0.18,0.9513,7,1
WOH-00550,TV-300,0.0668,19,14,0.6458,0.25,0.9997,8,1
WOH-00551,MON-100,1,0,0,0.9404,0.42,1.0492,4,1
WOH-00552,TV-100,0.1787,24,3,0.3441,0.18,0.8122,6,1
WOH-00553,MON-100,0.4486,22,5,0.0222,0.42,1.1083,5,0
WOH-00554,TV-100,0.2184,18,9,0.1614,0.18,1.419,2,1
WOH-00555,MON-100,0.3886,10,11,0.1714,0.42,0.5354,3,1
WOH-00556,TV-200,0.1282,1,8,0.4177,0.12,1.2853,2,1
WOH-00557,TV-200,0.018,21,6,0.4903,0.12,0.84,5,0
WOH-00558,TV-100,0.8011,5,3,0.4322,0.18,,6,0
WOH-00559,TV-100,0.6915,12,3,0.9079,0.18,1.3049,4,0
WOH-00560,TV-100,0.1566,20,9,0.6034,0.18,0.9731,5,0
WOH-00561,MON-100,0.4116,23,14,0.6555,0.42,1.3012,6,0
WOH-00562,TV-300,0.253,10,4,0.184,0.25,0.644,4,1
WOH-00563,TV-200,0.7072,-4,13,0.2408,0.12,0.8288,6,1
WOH-00564,MON-100,,3,8,0.7759,0.42,1.5494,2,1
WOH-00565,TV-300,0.312,17,6,0.0895,0.25,0.7993,7,1
WOH-00566,MON-100,0.8742,-1,14,0.3999,0.42,0.7927,7,1
WOH-00567,TV-300,0.9751,9,11,0.4092,0.25,0.5219,6,0
WOH-00568,TV-200,0.2779,9,12,0.3321,0.12,0.5906,4,0
WOH-00569,MON-100,,18,2,0.3537,0.42,1.5589,5,0
WOH-00570,MON-100,0.1216,21,3,0.2343,0.42,1.4584,2,0
WOH-00571,MON-100,1,6,0,0.7696,0.42,1.1647,6,0
WOH-00572,MON-200,0.2754,15,3,0.9446,0.31,6.4128,2,1
WOH-00573,MON-200,0.2926,12,5,0.1404,0.31,1.4877,3,1
WOH-00574,TV-200,0.876,2,5,0.4518,0.12,1.5717,3,1
WOH-00575,MON-100,0.2169,19,10,0.0723,0.42,1.52,5,1
WOH-00576,TV-300,0.4245,6,3,0.2434,0.25,0.8899,6,0
WOH-00577,TV-300,1,-6,0,0.7502,0.25,1.5807,7,1
WOH-00578,TV-300,0.0883,11,8,0.7597,0.25,0.7071,7,1
WOH-00579,TV-100,0.6574,-1,2,0.8263,0.18,1.5187,3,1
WOH-00580,TV-100,1,15,0,0.5444,0.18,0.734,2,0
WOH-00581,TV-100,0.7754,20,13,0.429,0.18,1.2874,3,1
WOH-00582,TV-100,0.9124,15,4,0.7221,0.18,0.5825,8,0
WOH-00583,TV-300,0.5803,-1,5,0.2216,0.25,0.8108,8,1
WOH-00584,TV-300,0.0623,20,7,0.7289,0.25,1.3375,3,0
WOH-00585,TV-200,1,-1,0,0.9187,0.12,1.5684,4,0
WOH-00586,TV-300,0.6196,-6,12,0.9114,0.25,1.5389,4,1
WOH-00587,MON-100,0.2562,11,12,0.3969,0.42,0.9537,7,0
WOH-00588,MON-200,,-6,6,0.8681,0.31,1.4112,7,1
WOH-00589,MON-100,1,4,0,0.0282,0.42,0.7808,3,0
WOH-00590,MON-100,0.4799,11,13,0.9405,0.42,0.7438,7,1
WOH-00591,TV-300,1,22,0,0.8542,0.25,0.7522,7,0
WOH-00592,TV-100,0.5131,-4,11,0.515,0.18,1.2233,5,1
WOH-00593,TV-300,0.3446,22,13,0.1834,0.25,1.2303,8,1
WOH-00594,TV-100,0.3803,5,4,0.3766,0.18,0.8297,7,0
WOH-00595,TV-300,0.5863,1,7,0.3733,0.25,1.4159,7,0
WOH-00596,MON-200,,16,0,0.1534,0.31,1.2794,4,0
WOH-00597,TV-100,0.3142,4,13,0.2165,0.18,1.3478,6,0
WOH-00598,MON-100,0.4725,8,10,0.9117,0.42,1.2439,5,1
WOH-00599,TV-200,0.6567,15,4,0.1086,0.12,1.3447,8,0
WOH-00600,TV-100,1,10,0,0.1141,0.18,1.1508,6,0
WOH-00601,MON-100,0.2871,14,2,0.9457,0.42,0.9974,4,1
WOH-00602,MON-100,0.0788,8,12,0.4625,0.42,1.5004,2,1
WOH-00603,TV-300,0.148,7,10,0.8301,0.25,1.175,2,1
WOH-00604,TV-200,0.8361,23,14,0.9209,0.12,1.3802,3,0
WOH-00605,TV-100,,2,13,0.7731,0.18,,3,1
WOH-00606,TV-300,0.0134,15,5,0.2137,0.25,0.9122,4,0
WOH-00607,MON-100,1,-5,0,0.8575,0.42,1.5682,2,0
WOH-00608,TV-200,1,4,0,0.2173,0.12,0.8687,6,0
WOH-00609,TV-100,1,1,0,0.5281,0.18,0.5305,4,0
WOH-00610,TV-200,0.6273,21,11,0.1951,0.12,0.8441,4,0
WOH-00611,TV-100,0.3471,21,4,0.9682,0.18,0.6223,8,0
WOH-00612,TV-100,0.7236,7,2,0.1562,0.18,1.1999,6,0
WOH-00613,MON-200,0.7037,7,13,0.2597,0.31,1.0576,3,1
WOH-00614,TV-100,,5,10,0.875,0.18,0.9259,8,1
WOH-00615,TV-300,0.2605,3,8,0.9478,0.25,0.6497,3,1
WOH-00616,MON-100,1,2,0,0.0734,0.42,1.3093,2,1
WOH-00617,TV-300,0.3214,24,9,0.0711,0.25,1.5699,8,1
WOH-00618,TV-100,0.2419,18,3,0.395,0.18,,8,1
WOH-00619,TV-300,,-3,0,0.9193,0.25,1.334,5,0
WOH-00620,MON-200,0.2255,24,9,0.0873,0.31,0.7377,7,0
WOH-00621,MON-200,0.9925,23,13,0.9237,0.31,1.0555,6,0
WOH-00622,MON-100,1,-5,0,0.2276,0.42,1.4149,6,1
WOH-00623,TV-200,0.1589,19,3,0.6692,0.12,1.1248,3,0
WOH-00624,TV-100,0.9289,12,12,0.4384,0.18,,7,0
WOH-00625,TV-300,0.1307,-1,9,0.9536,0.25,,4,0
WOH-00626,MON-200,0.8587,-4,7,0.0006,0.31,0.7688,6,1
WOH-00627,TV-300,0.4829,1,12,0.578,0.25,1.0567,5,1
WOH-00628,TV-100,,23,6,0.9566,0.18,0.7463,3,0
WOH-00629,MON-100,0.0575,4,9,0.8205,0.42,0.6385,3,1
WOH-00630,MON-100,0.1323,18,8,0.9772,0.42,0.7383,8,0
WOH-00631,MON-200,0.3357,16,7,0.6134,0.31,0.8067,7,0
WOH-00632,TV-100,1,9,0,0.9309,0.18,0.9728,8,1
WOH-00633,TV-300,0.4852,15,7,0.1009,0.25,0.6124,7,1
WOH-00634,TV-200,,18,9,0.8811,0.12,0.6821,3,0
WOH-00635,TV-100,0.8401,-6,5,0.6982,0.18,0.8495,4,1
WOH-00636,TV-300,0.9436,16,12,0.2164,0.25,0.6839,5,0
WOH-00637,MON-100,0.3723,22,13,0.1212,0.42,1.111,3,0
WOH-00638,TV-100,0.5723,10,5,0.3012,0.18,1.2618,7,0
WOH-00639,TV-200,0.4318,24,3,0.4911,0.12,0.9515,8,0
WOH-00640,MON-200,0.5827,-5,14,0.4106,0.31,0.5523,8,1
WOH-00641,MON-100,0.2963,11,10,0.8499,0.42,0.6326,8,0
WOH-00642,TV-200,0.1483,4,11,0.4073,0.12,0.5754,6,1
WOH-00643,MON-100,0.9641,7,8,0.8809,0.42,0.7055,6,1
WOH-00644,TV-300,0.4187,10,10,0.5022,0.25,1.3185,7,0
WOH-00645,MON-100,0.1652,-3,6,0.7467,0.42,8.8291,7,1
WOH-00646,TV-200,1,7,0,0.1821,0.12,0.8284,2,0
WOH-00647,TV-200,1,-4,0,0.1328,0.12,0.9532,4,0
WOH-00648,MON-100,0.1021,5,6,0.4464,0.42,0.9821,2,0
WOH-00649,TV-300,0.8606,3,6,0.8026,0.25,,2,0
WOH-00650,MON-100,0.9219,-4,11,0.0711,0.42,0.5588,2,1
WOH-00651,MON-200,,23,10,0.8384,0.31,1.1421,3,0
WOH-00652,MON-200,,24,13,0.2169,0.31,0.8416,5,1
WOH-00653,MON-200,0.8386,23,12,0.0057,0.31,1.3845,8,0
WOH-00654,TV-300,0.5445,2,3,0.3442,0.25,0.9893,4,0
WOH-00655,TV-100,0.2112,5,5,0.0714,0.18,1.1219,7,1
WOH-00656,MON-100,0.54,18,12,0.1031,0.42,,7,0
WOH-00657,MON-100,0.0269,6,12,0.0383,0.42,,8,1
WOH-00658,MON-100,0.9453,7,10,0.3375,0.42,1.2625,7,0
WOH-00659,TV-200,1,13,0,0.5672,0.12,1.1867,3,0
WOH-00660,MON-100,0.2777,14,11,0.7371,0.42,1.2669,4,0
WOH-00661,TV-300,0.4759,7,5,0.1428,0.25,0.6981,5,1
WOH-00662,TV-300,0.4566,-5,5,0.5067,0.25,0.7483,8,1
WOH-00663,MON-100,1,24,0,0.9226,0.42,1.5894,7,0
WOH-00664,TV-100,0.2193,24,2,0.2499,0.18,0.7558,5,1
WOH-00665,MON-200,0.7353,-4,3,0.716,0.31,,4,1
WOH-00666,TV-200,0.2182,0,10,0.1319,0.12,1.2623,4,1
WOH-00667,TV-100,0.5867,0,11,0.9853,0.18,1.1635,2,1
WOH-00668,MON-200,1,16,0,0.4969,0.31,1.3179,5,0
WOH-00669,TV-300,0.0543,12,6,0.9224,0.25,1.2348,2,0
WOH-00670,MON-100,,-6,7,0.0426,0.42,0.7941,8,0
WOH-00671,MON-200,1,21,0,0.6283,0.31,1.2288,4,0
WOH-00672,MON-100,0.44,1,3,0.0832,0.42,0.5084,3,0
WOH-00673,TV-300,0.8491,-6,7,0.0756,0.25,1.2339,3,1
WOH-00674,TV-300,0.9074,6,14,0.6241,0.25,0.729,4,1
WOH-00675,TV-300,0.1613,18,14,0.3813,0.25,1.4119,5,0
WOH-00676,MON-100,1,3,0,0.7025,0.42,1.2307,4,0
WOH-00677,MON-200,0.7034,3,9,0.8266,0.31,0.701,7,0
WOH-00678,TV-300,,1,0,0.3772,0.25,1.56,8,0
WOH-00679,MON-200,0.8291,21,10,0.4834,0.31,0.7109,5,0
WOH-00680,MON-200,0.097,1,11,0.6159,0.31,1.1678,4,0
WOH-00681,TV-300,0.4817,23,10,0.2441,0.25,1.2362,4,1
WOH-00682,TV-300,0.5978,1,6,0.4014,0.25,0.806,2,0
WOH-00683,MON-100,0.2845,20,4,0.7782,0.42,1.5161,2,0
WOH-00684,MON-200,0.9818,21,5,0.4122,0.31,1.4465,2,0
WOH-00685,MON-200,1,12,0,0.2013,0.31,1.1488,4,0
WOH-00686,TV-300,0.952,-3,6,0.4625,0.25,0.5871,4,1
WOH-00687,TV-200,0.4484,19,8,0.1127,0.12,0.8178,6,1
WOH-00688,TV-300,0.3922,19,3,0.1038,0.25,0.6047,4,0
WOH-00689,MON-200,0.6175,13,4,0.8326,0.31,,4,0
WOH-00690,TV-300,0.8689,19,5,0.1379,0.25,1.474,5,0
WOH-00691,TV-100,0.2922,0,5,0.3366,0.18,0.786,6,1
WOH-00692,TV-200,0.7448,8,6,0.3023,0.12,,4,0
WOH-00693,MON-200,,18,5,0.6512,0.31,0.5839,4,0
WOH-00694,TV-300,0.7184,15,14,0.1595,0.25,1.0684,3,0
WOH-00695,TV-200,0.4744,-2,6,0.3703,0.12,1.3322,6,1
WOH-00696,TV-200,1,24,0,0.5018,0.12,0.8709,2,0
WOH-00697,MON-100,0.6876,-2,4,0.1521,0.42,1.4975,8,1
WOH-00698,MON-200,1,23,0,0.0051,0.31,1.1298,5,0
WOH-00699,TV-200,0.2048,10,10,0.0702,0.12,0.7089,3,1
WOH-00700,MON-100,0.2564,12,7,0.4579,0.42,1.5088,5,0
WOH-00701,TV-200,0.43,-3,8,0.7343,0.12,1.3665,4,0
WOH-00702,MON-100,0.2525,19,8,0.7547,0.42,0.6923,7,0
WOH-00703,TV-300,1,1,0,0.7871,0.25,0.649,7,0
WOH-00704,MON-100,0.0828,16,11,0.4349,0.42,1.5326,8,1
WOH-00705,MON-200,0.1021,-6,3,0.2183,0.31,1.1722,7,1
WOH-00706,MON-100,0.6141,13,11,0.1139,0.42,1.2061,6,1
WOH-00707,TV-100,0.5143,6,8,0.4116,0.18,,4,1
WOH-00708,MON-100,0.1229,16,2,0.3842,0.42,0.7398,4,1
WOH-00709,TV-300,0.3475,0,6,0.164,0.25,1.4259,6,0
WOH-00710,MON-100,0.2223,2,14,0.1013,0.42,1.2828,2,1
WOH-00711,MON-200,0.6656,3,12,0.4994,0.31,0.6247,6,1
WOH-00712,TV-100,0.7405,2,7,0.7812,0.18,0.7593,8,0
WOH-00713,TV-300,0.476,21,12,0.6479,0.25,0.5222,4,0
WOH-00714,TV-200,0.9359,7,2,0.3812,0.12,1.4757,3,0
WOH-00715,TV-200,0.7848,5,6,0.6275,0.12,0.7162,2,0
WOH-00716,MON-200,0.8403,-5,12,0.067,0.31,0.6481,7,1
WOH-00717,MON-100,1,5,0,0.6301,0.42,0.9275,8,0
WOH-00718,TV-300,0.7389,-5,11,0.1675,0.25,1.0079,3,1
WOH-00719,MON-100,0.9571,6,5,0.5418,0.42,0.8011,3,0
WOH-00720,MON-100,0.9615,9,6,0.2974,0.42,1.1639,2,0
WOH-00721,TV-100,0.4368,14,3,0.4706,0.18,0.9182,5,1
WOH-00722,TV-300,0.8666,24,9,0.4579,0.25,,6,0
WOH-00723,MON-200,1,19,0,0.0012,0.31,1.3926,8,1
WOH-00724,MON-200,0.1863,13,2,0.3115,0.31,0.9274,4,1
WOH-00725,MON-200,0.6254,13,7,0.9924,0.31,0.6235,6,0
WOH-00726,TV-100,0.7375,5,10,0.0368,0.18,1.1031,2,1
WOH-00727,TV-300,0.4838,4,5,0.8043,0.25,1.4044,4,1
WOH-00728,TV-100,0.6094,22,13,0.6123,0.18,1.3904,3,0
WOH-00729,TV-100,0.8109,5,9,0.605,0.18,1.307,6,1
WOH-00730,MON-100,0.5347,-2,3,0.0656,0.42,0.5311,2,0
WOH-00731,MON-100,0.1682,18,5,0.5394,0.42,1.3653,2,0
WOH-00732,TV-200,,16,0,0.4715,0.12,1.1961,7,0
